No#,DESCRIPCION ,DESCRIPCION EXTENDIDA,MARCA,MODELO,  No# SERIE,FAMILIA,COD CDA,FACTURA,PROVEEDOR,F# ADQ,V# ADQ,F# GT,UB,RESPONSABLE,EST
1022,139,DE LECRON METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
1023,153,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
1024,157,FOTOCURADO PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1025,157,TRANSPARENTES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1026,139,DE RESINA METALICO,8,95,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1027,139,DE RESINA METALICO,5,67,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1028,139,DE RESINA METALICO,5,55,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1029,139,DE RESINA METALICO,177,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1030,139,DE RESINA METALICO,8,42,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1031,139,PARA PASTA  METALICO,18,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1032,139,DE RESINA METALICO,8,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1033,164,METALICO,109,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
1034,202,TRANSPARENTE ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1035,202,TRANSPARENTE,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1036,270,METALICO,179,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1037,270,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1038,279,METALICO,157,30,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1039,279,METALICO,22,30,FS-SLL105,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1040,324,METALICO,166,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
1041,318,Ninguno,123,122,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1042,139,PARA ALGINATO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1042,104,# 14 METALICA ,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1043,104,# 5 METALICA ,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1044,104,# 5 METALICA ,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1045,329,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1046,1,MEDIUM AZUL,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1047,244,METALICA,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1048,244,METALICA,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1049,48,BLANCO,67,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1050,119,PLASTICO BLANCO,63,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1051,118,PLASTICO BLANCO,63,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1052,117,PLASTICO BLANCO,63,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1053,311,VERDE,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1054,313,BLANCO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1055,314,CORTO PUNZANTE PLASTICO ROJO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1056,313,METALICO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1057,321,INALAMBRICO NEGRO,71,31,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1058,286,BLANCA,3,146,E116852,6,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1059,282,NEGRA,163,64,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1060,52,EXTENSION 3M BLANCA,1,146,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1061,290,BLANCO,76,152,020497K,6,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1062,52,EXTENSION 2MTS BLANCA,157,146,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,NULL
1063,221,8 CAJONES BLANCO,157,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1064,34,3 CAJONES BLANCO,157,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1065,299,METALICA CUERINA NEGRA,74,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1066,299,METALICA CUERINA NEGRA,74,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1067,216,BLANCO GRANDE,157,146,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1068,72,CAVITRON TURBO,186,66,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1069,306,PUNTO,157,146,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1070,308,2 EN 1 BLANCO,169,138,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1071,312,GIRATORIO AZUL,157,146,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1072,300,AZUL,76,15,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1073,169,LUZ FRIA,76,142,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1074,137,REDONDA PLASTICA BLANCA,76,145,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1075,330,RECTANGULAR GRIS,76,49,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1076,331,GRIS,128,124,C5860446,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1077,241,GRIS,128,77,F5978818,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1078,240,GRIS,128,72,E5X15570,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1079,219,GRIS,128,76,B5992075,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1080,51,GRIS,128,116,05X43662,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1081,146,METALICO,189,141,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1082,130,GRIS,76,24,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1083,289,NEGRO PEQUEÑO,140,85,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1084,36,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1085,36,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1086,36,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1087,36,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1088,36,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1089,36,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1090,36,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1091,104,METALICAS # 23-24,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1092,104,METALICAS # 23-24,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1093,104,METALICAS # 23-24,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1094,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1095,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1096,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1097,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1098,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1099,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1100,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1101,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1102,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1103,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1104,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1105,206,METALICO,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1106,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1107,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1108,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1109,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1110,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1111,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1112,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1113,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1114,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1115,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1116,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
309,244,METALICO,135,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
310,244,METALICO,166,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
311,249,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
312,249,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
313,249,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
314,249,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
315,10,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
316,253,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
317,255,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
318,270,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
319,270,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
320,270,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
321,270,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
322,307,METALICO,166,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
323,315,METALICO,110,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
324,316,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
325,318,AMARILLA ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
326,318,VERDE,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
327,324,METALICO,112,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
328,324,PARA CORTAR CORNET METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
329,324,PEQUEÑA RECTA METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
330,329,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
331,1,BLANCO CON ROSADO  PLASTICO,32,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,N
332,1,BLANCO CON ROSADO  PLASTICO,32,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,N
333,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
334,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
335,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
336,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
337,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
338,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
339,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
340,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
341,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
342,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
343,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
344,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
345,102,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
347,102,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
348,102,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
349,102,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
350,102,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
351,102,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
352,102,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
353,102,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
354,102,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
355,102,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
356,102,AMARILLA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
357,101,FLEXIBLE DORADA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
358,101,RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
359,101,RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
360,99,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
361,99,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
362,99,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
363,99,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
364,99,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
365,99,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
366,99,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
367,99,MORADA PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
368,99,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
369,99,AZUL PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
370,99,AMARILLAS PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
371,99,AMARILLAS PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
372,99,AMARILLAS PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
373,99,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
374,99,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
375,99,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
376,100,FLEXIBLES VERDES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
377,100,FLEXIBLES VERDES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
378,100,RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
379,100,RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
380,92,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
381,92,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
383,94,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
384,94,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
385,94,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
386,94,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
387,94,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
388,94,METALICA RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
389,93,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
390,93,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
391,93,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
392,93,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
393,93,VERDES PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
394,93,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
395,93,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
396,93,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
397,93,METALICA RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
398,93,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
399,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
400,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
401,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
402,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
403,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
404,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
405,95,VERDE PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
406,95,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
407,95,METALICA RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
408,95,CREMA PLASTICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
409,91,FLEXIBLE AZUL,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
410,97,PLASTICAS GRANDES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
411,97,PLASTICAS GRANDES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
412,97,PLASTICAS GRANDES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
413,97,PLASTICAS PEQUEÑAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
414,43,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
415,215,VIDRIO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
416,157,TRANSPARENTES CON FILO NEGRO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
418,245,Ninguno,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
419,263,AZUL ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
420,324,CURVA PEQUEÑA,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
421,324,RECTA PEQUEÑA,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
422,324,HILO DE SUTURA,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
423,139,DE RESINA  METALICA # 5,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
424,99,# 26 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
425,99,# 26 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
426,99,# 28 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
427,99,# 28 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
428,102,# 04 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
429,102,# 04 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
430,102,# 04 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
431,102,# 04 METALICA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
432,99,# 6 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
433,99,# 6 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
434,99,# 6 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
435,99,# 6 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
436,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
437,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
438,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
439,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
440,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
441,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
442,99,# 2 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
443,102,# 1 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
444,102,# 1 PLASTICAS AMARILLA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
445,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
446,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
447,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
448,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
449,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
450,102,# 3 PLASTICAS MOSTAZA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
451,77,KIT COLORES,89,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
452,1,PLASTICO AZUL ,65,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
